tweet_id,author_id,retweet_count,reply_count,like_count,quote_count
1553839509334360074,1412090536052334592,0,0,0,0
1553839508583505922,4365247582,0,0,0,0
1553839508331847682,1400443710186295300,0,0,0,0
1553839505806729216,1272479318447230977,0,0,0,0
1553839501813764096,1537148569991360512,0,0,0,0
1553839499934834692,1493508386314457091,0,0,0,0
1553839497137332224,1507572942636519425,0,0,0,0
1553839496755646472,2264227668,0,0,0,0
1553839496658948096,3151595166,0,0,0,0
1553839493886742531,1438319730486558725,0,0,0,0
1553839489868566530,15966758,0,0,0,0
1553839487653920768,722244778289704961,0,0,0,0
1553839486118768640,1115843674494128129,0,0,0,0
1553839479688814592,189042188,0,0,0,0
1553839478296674304,1192949883516248064,0,0,0,0
1553839465969303552,985806048,0,0,0,0
1553839463385780224,1199330230772600832,0,0,0,0
1553839463171776513,1497994324490997768,0,1,1,0
1553839459094827009,1416196242162339842,0,0,0,0
1553839455169089536,1520893271630917636,0,0,0,0
1553839454049165315,1131926604769300486,0,0,0,0
1553839452681805825,1519303889824145408,0,0,0,0
1553839451750576128,3229710201,0,0,0,0
1553839449502613507,1397538293013643275,0,0,0,0
1553839448827232257,1254963566999937026,0,0,0,0
1553839447292010496,1906061935,0,0,0,0
1553839441738866693,469314727,0,0,0,0
1553839437926334464,1447144539408510981,0,0,0,0
1553839434436689921,1343471876337754112,0,0,0,0
1553839423300571136,51949269,0,0,0,0
1553839421664792576,1255097287090585601,0,0,0,0
1553839419374936066,1324527400038924289,0,0,0,0
1553839412001251328,1457601707387625472,0,0,0,0
1553839408603926530,1461744888257695744,0,0,0,0
1553839401867829249,1552036238122688514,0,0,0,0
1553839399917461505,2194581130,0,0,0,0
1553839387774881792,1518748961296642048,0,0,0,0
1553839386650968066,926999989,0,0,0,0
1553839372314763266,1329459681367093249,0,0,0,0
1553839365838606336,2395731156,0,0,0,0
1553839351997636608,1277194874295549955,0,0,3,0
1553839344745578504,1199330230772600832,0,0,0,0
1553839343747342344,2199914528,0,0,0,0
1553839334037528577,1534754225120370688,0,1,0,0
1553839328094306308,16260503,0,0,0,0
1553839327553232896,1357410563387772938,0,0,0,0
1553839327263838208,1305436545445490688,0,0,0,0
1553839322482511872,1460195538503036930,0,0,0,0
1553839318652829697,1550549808372498432,0,0,0,0
1553839307479195648,1292883725223591938,0,1,0,0
1553839294963273728,862807278872805376,0,0,1,0
1553839288927883264,1450437548388593669,0,0,0,0
1553839287803826176,1392859666519048199,0,0,0,0
1553839282565038083,1541539293579059206,0,0,0,0
1553839279931101185,4027663883,0,0,1,0
1553839279842988036,1530860182200274949,0,0,1,0
1553839279440379904,1594348303,0,0,4,0
1553839279234846720,877304006841958400,0,0,0,0
1553839278483914752,46044333,0,0,0,0
1553839266693894146,1485694096203255808,0,1,0,0
1553839261471883264,49515905,0,0,0,1
1553839260440068098,2551072387,0,0,0,0
1553839259529797632,1409722074109669383,0,0,0,0
1553839259408338950,1303379937047576582,0,0,0,0
1553839253007761408,1328893033,0,0,0,0
1553839242563952644,1541504122863632385,0,0,0,0
1553839242081599488,1020116013688532992,0,0,0,0
1553839238520737799,1012110494231138306,0,0,0,0
1553839231902130177,52807692,0,0,0,0
1553839227393245186,824452811979182080,0,0,0,0
1553839226932035584,1141487627238957056,0,0,0,0
1553839220631879680,1525075453949513728,0,0,0,0
